symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
A,2016-01-27 00:00:00+00:00,37.05,37.92,36.81,37.39,1479446,35.4635338329,36.2962807812,35.2338105369,35.7889751691,1479446,0.0,1.0
A,2016-01-28 00:00:00+00:00,36.11,37.27,36.01,37.27,3479452,34.5637842566,35.674113521,34.4680662166,35.674113521,3479452,0.0,1.0
A,2016-01-29 00:00:00+00:00,37.65,37.69,36.31,36.44,2959863,36.0378420731,36.0761292892,34.7552203367,34.8796537887,2959863,0.0,1.0
A,2016-02-01 00:00:00+00:00,37.69,37.945,37.0,37.37,2666567,36.0761292892,36.3202102913,35.4156748129,35.7698315611,2666567,0.0,1.0
A,2016-02-02 00:00:00+00:00,37.07,37.55,36.95,37.18,1742325,35.4826774409,35.9421240331,35.3678157929,35.587967285,1742325,0.0,1.0
A,2016-02-03 00:00:00+00:00,37.19,37.36,36.29,37.27,2128426,35.597539089,35.760259757,34.7360767287,35.674113521,2128426,0.0,1.0
A,2016-02-04 00:00:00+00:00,37.42,37.79,36.97,37.15,2833492,35.8176905811,36.1718473292,35.3869594009,35.559251873,2833492,0.0,1.0
A,2016-02-05 00:00:00+00:00,36.04,37.31,35.83,37.26,4424609,34.4967816286,35.712400737,34.2957737445,35.664541717,4424609,0.0,1.0
A,2016-02-08 00:00:00+00:00,34.8,35.78,34.39,35.61,3888601,33.3098779322,34.2479147245,32.917433968,34.0851940564,3888601,0.0,1.0
A,2016-02-09 00:00:00+00:00,35.37,35.77,34.15,34.21,3464464,33.8554707604,34.2383429205,32.6877106719,32.7451414959,3464464,0.0,1.0
A,2016-02-10 00:00:00+00:00,35.85,36.73,35.53,35.63,3169951,34.3149173525,35.1572361048,34.0086196244,34.1043376644,3169951,0.0,1.0
A,2016-02-11 00:00:00+00:00,35.33,35.61,34.935,35.12,3224004,33.8171835443,34.0851940564,33.4390972862,33.6161756603,3224004,0.0,1.0
A,2016-02-12 00:00:00+00:00,36.22,36.23,35.52,35.84,3923627,34.6690741006,34.6786459047,33.9990478204,34.3053455485,3923627,0.0,1.0
A,2016-02-16 00:00:00+00:00,37.08,37.17,36.4,36.72,2903649,35.4922492449,35.578395481,34.8413665727,35.1476643008,2903649,0.0,1.0
A,2016-02-17 00:00:00+00:00,37.87,38.13,34.75,35.22,5382312,36.2484217612,36.4972886653,33.2620189121,33.7118937003,5382312,0.0,1.0
A,2016-02-18 00:00:00+00:00,37.19,37.96,37.09,37.73,2231481,35.597539089,36.3345679973,35.501821049,36.1144165052,2231481,0.0,1.0
A,2016-02-19 00:00:00+00:00,37.44,37.6,36.85,36.98,2339426,35.8368341891,35.9899830531,35.2720977529,35.3965312049,2339426,0.0,1.0
A,2016-02-22 00:00:00+00:00,38.03,38.19,37.78,37.88,1792962,36.4015706253,36.5547194893,36.1622755252,36.2579935652,1792962,0.0,1.0
A,2016-02-23 00:00:00+00:00,37.17,37.96,36.95,37.64,1282290,35.578395481,36.3345679973,35.3678157929,36.0282702691,1282290,0.0,1.0
A,2016-02-24 00:00:00+00:00,37.48,37.5,36.47,36.65,1454952,35.8751214051,35.8942650131,34.9083692007,35.0806616728,1454952,0.0,1.0
A,2016-02-25 00:00:00+00:00,37.63,37.71,36.96,37.62,1453515,36.0186984651,36.0952728972,35.3773875969,36.0091266611,1453515,0.0,1.0
A,2016-02-26 00:00:00+00:00,37.59,37.92,37.44,37.75,944266,35.9804112491,36.2962807812,35.8368341891,36.1335601132,944266,0.0,1.0
A,2016-02-29 00:00:00+00:00,37.35,37.7,37.33,37.59,2187405,35.750687953,36.0857010932,35.731544345,35.9804112491,2187405,0.0,1.0
A,2016-03-01 00:00:00+00:00,38.59,38.66,37.61,37.63,2760200,36.9375916495,37.0045942775,35.9995548571,36.0186984651,2760200,0.0,1.0
A,2016-03-02 00:00:00+00:00,39.04,39.27,38.41,38.49,3612508,37.3683228296,37.5884743217,36.7652991774,36.8418736094,3612508,0.0,1.0
A,2016-03-03 00:00:00+00:00,39.2,39.23,38.74,38.92,946823,37.5214716937,37.5501871057,37.0811687095,37.2534611816,946823,0.0,1.0
A,2016-03-04 00:00:00+00:00,39.34,39.58,39.03,39.14,1124968,37.6554769497,37.8852002458,37.3587510256,37.4640408697,1124968,0.0,1.0
A,2016-03-07 00:00:00+00:00,39.43,39.68,38.96,39.04,1221574,37.7416231858,37.9809182859,37.2917483976,37.3683228296,1221574,0.0,1.0
A,2016-03-08 00:00:00+00:00,38.09,39.13,38.01,38.97,1796466,36.4590014493,37.4544690657,36.3824270173,37.3013202016,1796466,0.0,1.0
A,2016-03-09 00:00:00+00:00,38.13,38.4,37.96,38.31,1614633,36.4972886653,36.7557273734,36.3345679973,36.6695811374,1614633,0.0,1.0
A,2016-03-10 00:00:00+00:00,37.98,38.51,37.62,38.17,1614998,36.3537116053,36.8610172174,36.0091266611,36.5355758813,1614998,0.0,1.0
A,2016-03-11 00:00:00+00:00,39.23,39.272,38.32,38.43,1517348,37.5501871057,37.5903886825,36.6791529414,36.7844427854,1517348,0.0,1.0
A,2016-03-14 00:00:00+00:00,39.02,39.17,38.41,38.98,929638,37.3491792216,37.4927562817,36.7652991774,37.3108920056,929638,0.0,1.0
A,2016-03-15 00:00:00+00:00,38.29,38.71,38.08,38.59,1059439,36.6504375294,37.0524532975,36.4494296453,36.9375916495,1059439,0.0,1.0
A,2016-03-16 00:00:00+00:00,38.98,39.105,38.02,38.09,1956125,37.3108920056,37.4305395557,36.3919988213,36.4590014493,1956125,0.0,1.0
A,2016-03-17 00:00:00+00:00,39.29,39.44,38.59,39.06,1895669,37.6076179297,37.7511949898,36.9375916495,37.3874664376,1895669,0.0,1.0
A,2016-03-18 00:00:00+00:00,40.19,40.48,39.27,39.33,2504361,38.46908029,38.7466626061,37.5884743217,37.6459051457,2504361,0.0,1.0
A,2016-03-21 00:00:00+00:00,39.65,40.14,39.64,40.07,2172615,37.9522028738,38.42122127,37.9426310698,38.354218642,2172615,0.0,1.0
A,2016-03-22 00:00:00+00:00,39.88,40.04,39.445,39.56,1552312,38.1723543659,38.32550323,37.7559808918,37.8660566378,1552312,0.0,1.0
A,2016-03-23 00:00:00+00:00,39.47,39.99,39.37,39.9,1554822,37.7799104018,38.27764421,37.6841923617,38.1914979739,1554822,0.0,1.0
A,2016-03-24 00:00:00+00:00,39.43,39.45,38.89,39.16,993627,37.7416231858,37.7607667938,37.2247457696,37.4831844777,993627,0.0,1.0
A,2016-03-28 00:00:00+00:00,39.52,39.75,39.14,39.54,1272724,37.8277694218,38.0479209139,37.4640408697,37.8469130298,1272724,0.0,1.0
A,2016-03-29 00:00:00+00:00,40.16,40.22,39.11,39.35,1091198,38.440364878,38.497795702,37.4353254577,37.6650487537,1091198,0.0,1.0
A,2016-03-30 00:00:00+00:00,40.12,40.58,39.89,40.36,783495,38.402077662,38.8423806462,38.1819261699,38.6318009581,783495,0.0,1.0
A,2016-03-31 00:00:00+00:00,39.85,40.1,39.66,40.01,3143468,38.1436389539,38.382934054,37.9617746779,38.296787818,3143468,0.0,1.0
A,2016-04-01 00:00:00+00:00,40.31,40.38,39.5,39.56,2857844,38.6940176841,38.7612114633,37.9164896681,37.974084336,2857844,0.115,1.0
A,2016-04-04 00:00:00+00:00,40.01,40.52,39.8,40.32,2958061,38.4060443449,38.8955990216,38.2044630074,38.7036167954,2958061,0.0,1.0
A,2016-04-05 00:00:00+00:00,39.26,39.89,39.19,39.73,1900659,37.6861109967,38.2908550092,37.6189172176,38.1372692282,1900659,0.0,1.0
A,2016-04-06 00:00:00+00:00,40.24,40.25,39.17,39.29,1566612,38.626823905,38.6364230163,37.599718995,37.7149083307,1566612,0.0,1.0
